prefix,subnetmask,gateway,broadcast,device,interface
10.123.20.8/29,255.255.255.248,10.123.20.9,10.123.20.15,cin-leaf0.pnj,te0/0/0/10
10.123.20.16/29,255.255.255.248,10.123.20.17,10.123.20.23,cin-leaf0.pnj,te0/0/0/11
10.123.20.24/29,255.255.255.248,10.123.20.25,10.123.20.31,cin-leaf0.pnj,te0/0/0/12
10.123.20.32/29,255.255.255.248,10.123.20.33,10.123.20.39,cin-leaf0.pnj,te0/0/0/13
10.123.20.40/29,255.255.255.248,10.123.20.41,10.123.20.47,cin-leaf0.pnj,te0/0/0/14
10.123.20.48/29,255.255.255.248,10.123.20.49,10.123.20.55,cin-leaf0.pnj,te0/0/0/15
10.123.20.56/29,255.255.255.248,10.123.20.57,10.123.20.63,cin-leaf0.pnj,te0/0/0/16
10.123.20.64/29,255.255.255.248,10.123.20.65,10.123.20.71,cin-leaf0.pnj,te0/0/0/17
10.123.20.72/29,255.255.255.248,10.123.20.73,10.123.20.79,cin-leaf0.pnj,te0/0/0/18
10.123.20.80/29,255.255.255.248,10.123.20.81,10.123.20.87,cin-leaf0.pnj,te0/0/0/19
10.123.20.88/29,255.255.255.248,10.123.20.89,10.123.20.95,cin-leaf0.pnj,te0/0/0/20
10.123.20.96/29,255.255.255.248,10.123.20.97,10.123.20.103,cin-leaf0.pnj,te0/0/0/21
10.123.20.104/29,255.255.255.248,10.123.20.105,10.123.20.111,cin-leaf0.pnj,te0/0/0/22
10.123.20.112/29,255.255.255.248,10.123.20.113,10.123.20.119,cin-leaf0.pnj,te0/0/0/23
10.123.20.120/29,255.255.255.248,10.123.20.121,10.123.20.127,cin-leaf0.pnj,te0/0/0/24
10.123.20.128/29,255.255.255.248,10.123.20.129,10.123.20.135,cin-leaf0.pnj,te0/0/0/25
10.123.20.136/29,255.255.255.248,10.123.20.137,10.123.20.143,cin-leaf0.pnj,te0/0/0/26
10.123.20.144/29,255.255.255.248,10.123.20.145,10.123.20.151,cin-leaf0.pnj,te0/0/0/27
10.123.20.152/29,255.255.255.248,10.123.20.153,10.123.20.159,cin-leaf0.pnj,te0/0/0/28
10.123.20.160/29,255.255.255.248,10.123.20.161,10.123.20.167,cin-leaf0.pnj,te0/0/0/29
10.123.20.168/29,255.255.255.248,10.123.20.169,10.123.20.175,cin-leaf0.pnj,te0/0/0/30
10.123.20.176/29,255.255.255.248,10.123.20.177,10.123.20.183,cin-leaf0.pnj,te0/0/0/31
10.123.20.184/29,255.255.255.248,10.123.20.185,10.123.20.191,cin-leaf0.pnj,te0/0/0/32
10.123.20.192/29,255.255.255.248,10.123.20.193,10.123.20.199,cin-leaf0.pnj,te0/0/0/33
10.123.20.200/29,255.255.255.248,10.123.20.201,10.123.20.207,cin-leaf0.pnj,te0/0/0/34
10.123.20.208/29,255.255.255.248,10.123.20.209,10.123.20.215,cin-leaf0.pnj,te0/0/0/35
10.123.20.216/29,255.255.255.248,10.123.20.217,10.123.20.223,cin-leaf0.pnj,te0/0/0/36
10.123.20.224/29,255.255.255.248,10.123.20.225,10.123.20.231,cin-leaf0.pnj,te0/0/0/37
10.123.20.232/29,255.255.255.248,10.123.20.233,10.123.20.239,cin-leaf0.pnj,te0/0/0/38
10.123.20.240/29,255.255.255.248,10.123.20.241,10.123.20.247,cin-leaf0.pnj,te0/0/0/39
